Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Africa,Pretoria,S-Africa,ZS6PTA C,ZS6PTA G,145.712500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,-25.692333,28.242333,+2:00
2,Asia,Jakarta,DKI,YD0ZRD B,YD0ZRD G,434.200000,DUP-,4.000000,DV,OFF,88.5Hz,NO,Approximate,-6.220000,106.840000,+7:00
3,Australia,Melbourne,Victoria,VK3RMC B,VK3RMC G,438.125000,DUP-,5.400000,DV,OFF,88.5Hz,NO,Approximate,-38.002667,145.326833,+10:00
4,Canada,Quebec,Quebec,VE2RQT B,VE2RQT G,449.925000,DUP-,5.000000,DV,OFF,88.5Hz,NO,Approximate,46.779500,-71.275667,-5:00
4,Canada,Toronto,Ontario,VE3YYZ B,VE3YYZ G,442.700000,DUP+,5.000000,DV,OFF,88.5Hz,NO,Approximate,43.649000,-79.381333,-5:00
5,Europe Eastern,Sofia,Bulgaria,LZ0DAB B,LZ0DAB G,438.550000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,42.637300,23.243900,+1:00
5,Europe Eastern,Praha,Czech,OK0HCS B,OK0HCS G,439.450000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,50.082000,14.389167,+1:00
5,Europe Eastern,Budapest,Hungary,HG5RVD C,HG5RVD G,145.675000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,47.498433,19.040750,+1:00
5,Europe Eastern,Warsaw,Poland,SR5UVA B,SR5UVA G,439.437500,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,52.232833,20.999167,+1:00
5,Europe Eastern,Timisoara,Romania,YO2Q   B,YO2Q   G,438.500000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,45.768717,21.232267,+1:00
5,Europe Eastern,Moscow,Russia,RU3AWW B,RU3AWW G,434.806250,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,55.670000,37.620000,+4:00
5,Europe Eastern,Hradisko,Slovakia,OM0OAE B,OM0OAE G,438.925000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,49.226167,18.681817,+1:00
5,Europe Eastern,Istanbul,Turkey,YM2KK  B,YM2KK  G,439.150000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,40.942500,29.171500,+2:00
5,Europe Eastern,Uzhhorod,Ukraine,UR0DUA B,UR0DUA G,439.325000,DUP-,7.600000,DV,OFF,88.5Hz,YES,Approximate,48.618067,22.344417,+1:00
5,Europe Eastern,Uzhhorod,Ukraine,UR0DUA C,UR0DUA G,145.500000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,48.618067,22.344417,+1:00
6,Europe Northern,Copenhagen,Denmark,OZ2REA B,OZ2REA G,434.937500,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,55.671833,12.523333,+1:00
6,Europe Northern,Espoo,Finland,OH2RCH C,OH2RCH G,145.687500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,60.183300,24.750800,+2:00
6,Europe Northern,Reykjavik,Iceland,TF3RPI B,TF3RPI G,439.950000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,63.977300,-21.635000,+1:00
6,Europe Northern,Oslo,Norway,LD1OT  B,LD1OT  G,434.575000,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,59.984833,10.668833,+1:00
6,Europe Northern,Bandhagen,Sweden,SM0R   B,SM0R   G,433.487500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.260000,18.010000,+1:00
6,Europe Northern,Boras,Sweden,SG6BWX B,SG6BWX G,434.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,57.724300,12.941000,+1:00
6,Europe Northern,Boras,Sweden,SG6BWX C,SG6BWX G,145.287500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,57.724300,12.941000,+1:00
6,Europe Northern,Borlange,Sweden,SG4OUF B,SG4OUF G,434.487500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,60.484367,15.433883,+1:00
6,Europe Northern,Borlange,Sweden,SG4UZM B,SG4UZM G,434.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,60.500000,15.440000,+1:00
6,Europe Northern,Borlange,Sweden,SK4BW  B,SK4BW  G,434.900000,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,60.400000,15.460000,+1:00
6,Europe Northern,Borlange,Sweden,SK4BW  C,SK4BW  G,145.575000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,60.400000,15.460000,+1:00
6,Europe Northern,Brattaasen,Sweden,SK3JR  B,SK3JR  G,434.562500,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,63.100000,14.590000,+1:00
6,Europe Northern,Eksharad,Sweden,SG4AXV B,SG4AXV G,434.800000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,60.170000,13.490000,+1:00
6,Europe Northern,Enafors,Sweden,SG3IVF B,SG3IVF G,434.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,63.290000,12.350000,+1:00
6,Europe Northern,Falun,Sweden,SG4KUH B,SG4KUH G,433.200000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,60.580000,15.620000,+1:00
6,Europe Northern,Flen,Sweden,SK5UM  B,SK5UM  G,434.550000,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,59.057500,16.605167,+1:00
6,Europe Northern,Gladsax,Sweden,SK7RNQ C,SK7RNQ G,145.587500,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,55.560000,14.280000,+1:00
6,Europe Northern,Glanshammar,Sweden,SG4UOF C,SG4UOF G,145.337500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.370000,15.430000,+1:00
6,Europe Northern,Glomslov,Sweden,SK7DS  B,SK7DS  G,434.512500,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,55.939300,12.817500,+1:00
6,Europe Northern,Gothenborg,Sweden,SK6RKI C,SK6RKI G,145.750000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,57.689333,11.985500,+1:00
6,Europe Northern,Gothenburg,Sweden,SK6SA  B,SK6SA  G,434.512500,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,57.678500,11.979167,+1:00
6,Europe Northern,Hallandsasen,Sweden,SK7RQX C,SK7RQX G,145.575000,DUP-,0.600000,DV,OFF,88.5Hz,YES,Approximate,56.384200,12.941800,+1:00
6,Europe Northern,Halmstad,Sweden,SG6JWU B,SG6JWU G,433.475000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,56.640000,12.920000,+1:00
6,Europe Northern,Halmstad,Sweden,SG6JWU C,SG6JWU G,145.337500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,56.640000,12.920000,+1:00
6,Europe Northern,Haninge,Sweden,SG0BON B,SG0BON G,433.587500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.180000,18.160000,+1:00
6,Europe Northern,Haninge,Sweden,SG0BON C,SG0BON G,145.337500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.180000,18.160000,+1:00
6,Europe Northern,Huddinge,Sweden,SG0POH B,SG0POH G,433.587500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.250000,17.960000,+1:00
6,Europe Northern,Huddinge,Sweden,SG0POH C,SG0POH G,145.412500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.250000,17.960000,+1:00
6,Europe Northern,Hudiksvall,Sweden,SK3GA  B,SK3GA  G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,61.720000,17.120000,+1:00
6,Europe Northern,Karlskrona,Sweden,SK7B   C,SK7B   G,145.337500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,56.208700,15.634300,+1:00
6,Europe Northern,Kristianstad,Sweden,SG7TIX B,SG7TIX G,433.337500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,56.055667,14.282500,+1:00
6,Europe Northern,Krokom,Sweden,SG3BDM B,SG3BDM G,433.587500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,63.190000,14.260000,+1:00
6,Europe Northern,Kungshult,Sweden,SG7BIK B,SG7BIK G,434.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Approximate,55.000000,13.000000,+1:00
6,Europe Northern,Kvissleby,Sweden,SE3XCH C,SE3XCH G,145.362500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,62.300200,17.363800,+1:00
6,Europe Northern,Lilla Essingen,Sweden,SG0YOS C,SG0YOS G,145.237500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Approximate,59.322700,18.006800,+1:00
6,Europe Northern,Lund,Sweden,SK7RJL B,SK7RJL G,434.587500,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,55.730000,13.230000,+1:00
6,Europe Northern,Lysekil,Sweden,SK6IF  B,SK6IF  G,434.550000,DUP-,2.000000,DV,OFF,88.5Hz,YES,Approximate,58.290000,11.460000,+1:00
