Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Africa,Pretoria,S-Africa,ZS6PTA C,ZS6PTA G,145.7125,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-25.692333,28.242333,+2:00
2,Asia,Jakarta,DKI,YD0ZRD B,YD0ZRD G,434.2,DUP-,4,DV,OFF,88.5Hz,NO,Approximate,-6.22,106.84,+7:00
3,Australia,Isaacs Ridge,Canberra Central (G),VK1RWN C,VK1RWN G,146.6625,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-35.36,149.12,+10:00
3,Australia,Somersby,Gosford (G),VK2RAG B,VK2RAG G,438.325,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-33.36,151.3,+10:00
3,Australia,Somersby,Gosford (G),VK2RAG C,VK2RAG G,146.6375,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-33.36,151.3,+10:00
3,Australia,SydneyCBD,Sydney (G),VK2RBV B,VK2RBV G,438.775,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-33.864,151.2114,+10:00
3,Australia,Maddens Plains,Illawarra (G),VK2RDS B,VK2RDS G,439.75,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-34.26,150.96,+10:00
3,Australia,Maddens Plains,Illawarra (G),VK2RDS C,VK2RDS G,146.7625,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-34.26,150.96,+10:00
3,Australia,Kulnura,NSW,VK2RHK B,VK2RHK G,438.125,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-33.18275,151.19408,+10:00
3,Australia,Terrey Hills,Sydney (G),VK2RWN B,VK2RWN G,438.4,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-33.69,151.23,+10:00
3,Australia,Terrey Hills,Sydney (G),VK2RWN C,VK2RWN G,146.9625,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-33.69,151.23,+10:00
3,Australia,Mt Buninyong,Ballarat,VK3RBA B,VK3RBA G,439.9875,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-37.65443,143.925145,+10:00
3,Australia,Bendigo,Bendigo (G),VK3RCE B,VK3RCE G,438.9125,DUP-,0,DV,OFF,88.5Hz,YES,Approximate,-36.73,144.31,+10:00
3,Australia,Mt Wombat,Shepparton (G),VK3RGV B,VK3RGV G,438.2,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-36.85,145.68,+10:00
3,Australia,Berwick,Berwick (G),VK3RMC B,VK3RMC G,438.125,DUP-,5.4,DV,OFF,88.5Hz,NO,Approximate,-38,145.33,+10:00
3,Australia,Berwick,Berwick (G),VK3RMC C,VK3RMC G,146.7625,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-38,145.33,+10:00
3,Australia,Mt Macedon,Melbourne NW (G),VK3RMM B,VK3RMM G,438.05,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-37.38,144.58,+10:00
3,Australia,Olinda,Melbourne East (G),VK3RWN B,VK3RWN G,438.3,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-37.85,145.37,+10:00
3,Australia,Olinda,Melbourne East (G),VK3RWN C,VK3RWN G,146.9125,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-37.85,145.37,+10:00
3,Australia,The Knobby,Ipswich (G),VK4RBX C,VK4RBX G,146.7875,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-27.503803,152.592396,+10:00
3,Australia,Cairns,Cairns (G),VK4RCN B,VK4RCN G,438.3125,DUP-,5,DV,OFF,88.5Hz,YES,Approximate,-26.168333,152,+10:00
3,Australia,Mt Tamborine,Gold Coast,VK4RDK B,VK4RDK G,438.3125,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-27.998,153.1825,+10:00
3,Australia,Wilkes Knob,Maleny (G),VK4RDS C,VK4RDS G,146.7375,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,-26.77,152.92,+10:00
3,Australia,Wongawallan,Gold Coast (G),VK4RDW B,VK4RDW G,438.35,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-27.88,153.26,+10:00
3,Australia,Kuranda,Kuranda (G),VK4RPH B,VK4RPH G,146.6875,DUP-,1.6,DV,OFF,88.5Hz,YES,Approximate,-16.8,145.63,+10:00
3,Australia,Springbrook,Gold Coast (G),VK4RWN B,VK4RWN G,438.225,DUP-,5.4,DV,OFF,88.5Hz,YES,Approximate,-28.23,153.29,+10:00
4,Canada,Banff National P,Alberta,VE6WRO B,VE6WRO G,444.825,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,51.182667,-115.572667,-7:00
4,Canada,Banff National P,Alberta,VE6WRO C,VE6WRO G,147.03,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,51.182667,-115.572667,-7:00
4,Canada,Calgary,Alberta,VA3URU B,VA3URU G,448.65,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,51.04,-114.07,-7:00
4,Canada,Calgary,Alberta,VE6IPG B,VE6IPG G,444.9625,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,50.964,-114.073167,-7:00
4,Canada,Calgary,Alberta,VE6IPG C,VE6IPG G,147.285,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,50.964,-114.073167,-7:00
4,Canada,Calgary,Alberta,VE6WRN B,VE6WRN G,444.925,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,51.0755,-114.211,-7:00
4,Canada,Calgary,Alberta,VE6WRN C,VE6WRN G,146.805,DUP-,1.2,DV,OFF,88.5Hz,YES,Approximate,51.0755,-114.211,-7:00
4,Canada,Edmonton,Alberta,VE6KM  B,VE6KM  G,444.9,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,53.5265,-113.346167,-7:00
4,Canada,Edmonton,Alberta,VE6KM  C,VE6KM  G,145.47,DUP-,0.6,DV,OFF,88.5Hz,YES,Approximate,53.5265,-113.346167,-7:00
4,Canada,Chilliwack,BC,VE7RCK B,VE7RCK G,444.625,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,49.1017,-121.9067,-8:00
4,Canada,Kelowna,BC,VA7DIG B,VA7DIG G,440.95,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,49.879167,-119.460333,-8:00
4,Canada,Kelowna,BC,VA7DIG C,VA7DIG G,145.03,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,49.879167,-119.460333,-8:00
4,Canada,Mt Seymour,BC,VE7RAG B,VE7RAG G,443.4,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,49.36,-122.96,-8:00
4,Canada,Mt Seymour,BC,VE7RAG C,VE7RAG G,147.02,DUP+,0.6,DV,OFF,88.5Hz,YES,Approximate,49.36,-122.96,-8:00
4,Canada,Vancouver,BC,VA7ICM B,VA7ICM G,442,DUP+,5,DV,OFF,88.5Hz,YES,Approximate,49.185833,-122.835,-8:00
