CH No,Frequency,Dup,Offset,TS,Mode,Name,SKIP,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
00,156.000000,DUP+,4.600000,5kHz,FM,MVHF CH0,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
01,156.050000,DUP+,4.600000,5kHz,FM,MVHF CH1,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
02,156.100000,DUP+,4.600000,5kHz,FM,MVHF CH2,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
03,156.150000,DUP+,4.600000,5kHz,FM,MVHF CH3,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
04,156.200000,DUP+,4.600000,5kHz,FM,MCHF CH4,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
05,156.250000,DUP+,4.600000,5kHz,FM,MVHF CH5,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
06,156.300000,OFF,0.600000,5kHz,FM,MVHF CH6 D Ship-,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
07,156.350000,DUP+,4.600000,5kHz,FM,MVHF CH7,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
08,156.400000,OFF,0.600000,5kHz,FM,MVHF CH8 W Inter,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
09,156.450000,OFF,0.600000,5kHz,FM,MVHF CH9 W Pilot,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
10,156.500000,OFF,0.600000,5kHz,FM,MVHF CH10,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
11,156.550000,OFF,0.600000,5kHz,FM,MVHF CH11,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
12,156.600000,OFF,0.600000,5kHz,FM,MVHF CH12 W Port,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
13,156.650000,OFF,0.600000,5kHz,FM,MVHF CH13 W Port,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
14,156.700000,OFF,0.600000,5kHz,FM,MVHF CH14,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
15,156.750000,OFF,0.600000,5kHz,FM,MVHF CH15,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
16,156.800000,OFF,0.600000,5kHz,FM,MVHF CH16 D Call,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
17,156.850000,OFF,0.600000,5kHz,FM,MVHF CH17,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
18,156.900000,DUP+,4.600000,5kHz,FM,MVHF CH18,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
19,156.950000,DUP+,4.600000,5kHz,FM,MVHF CH19,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
20,157.000000,DUP+,4.600000,5kHz,FM,MVHF CH20 - Rep,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
21,157.050000,DUP+,4.600000,5kHz,FM,MVHF CH21,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
22,157.100000,DUP+,4.600000,5kHz,FM,MVHF CH22,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
23,157.150000,DUP+,4.600000,5kHz,FM,MVHF CH23,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
24,157.200000,DUP+,4.600000,5kHz,FM,MVHF CH24,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
25,157.250000,DUP+,4.600000,5kHz,FM,MVHF CH25,OFF,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
