No,Name,Call Sign
01,Use Repeater,CQCQCQ
02,Echo Test,       E
03,Repeater Status,       I
04,Unlink Repeater,       U
05,link to REF001A,REF001AL
06,link to REF001B,REF001BL
07,link to REF001C,REF001CL
08,link to REF002A,REF002AL
09,link to REF002B,REF002BL
10,link to REF002C,REF002CL
11,link to REF003A,REF003AL
12,link to REF003B,REF003BL
13,link to REF003C,REF003CL
14,link to REF003D,REF003DL
15,link to REF004A,REF004AL
16,link to REF004B,REF004BL
17,link to REF004C,REF004CL
18,link to REF005A,REF005AL
19,link to REF005B,REF005BL
20,link to REF005C,REF005CL
21,link to REF006A,REF006AL
22,link to REF006B,REF006BL
23,link to REF006C,REF006CL
24,link to REF007A,REF007AL
25,link to REF007B,REF007BL
26,link to REF007C,REF007CL
27,link to REF008A,REF008AL
28,link to REF008B,REF008BL
29,link to REF008C,REF008CL
30,link to REF009A,REF009AL
31,link to REF009B,REF009BL
32,link to REF009C,REF009CL
33,link to REF010A,REF010AL
34,link to REF010B,REF010BL
35,link to REF010C,REF010CL
36,link to REF011A,REF011AL
37,link to REF011B,REF011BL
38,link to REF011C,REF011CL
39,link to REF012A,REF012AL
40,link to REF012B,REF012BL
41,link to REF012C,REF012CL
42,link to REF013A,REF013AL
43,link to REF013B,REF013BL
44,link to REF013C,REF013CL
45,link to REF014A,REF014AL
46,link to REF014B,REF014BL
47,link to REF014C,REF014CL
48,link to REF015A,REF015AL
49,link to REF015B,REF015BL
50,link to REF015C,REF015CL
51,link to REF016A,REF016AL
52,link to REF016B,REF016BL
53,link to REF016C,REF016CL
54,link to REF017A,REF017AL
55,link to REF017B,REF017BL
56,link to REF017C,REF017CL
57,link to REF018A,REF018AL
58,link to REF018B,REF018BL
59,link to REF018C,REF018CL
60,link to REF019A,REF019AL
61,link to REF019B,REF019BL
62,link to REF019C,REF019CL
63,link to REF020A,REF020AL
64,link to REF020B,REF020BL
65,link to REF020C,REF020CL
66,link to REF021A,REF021AL
67,link to REF021B,REF021BL
68,link to REF021C,REF021CL
69,link to REF022A,REF022AL
70,link to REF022B,REF022BL
71,link to REF022C,REF022CL
72,link to REF023A,REF023AL
73,link to REF023B,REF023BL
74,link to REF023C,REF023CL
75,link to REF024A,REF024AL
76,link to REF024B,REF024BL
77,link to REF024C,REF024CL
78,link to REF025A,REF025AL
79,link to REF025B,REF025BL
80,link to REF025C,REF025CL
81,link to REF026A,REF026AL
82,link to REF026B,REF026BL
83,link to REF026C,REF026CL
84,link to REF027A,REF027AL
85,link to REF027B,REF027BL
86,link to REF027C,REF027CL
87,link to REF028A,REF028AL
88,link to REF028B,REF028BL
89,link to REF028C,REF028CL
90,link to REF029A,REF029AL
91,link to REF029B,REF029BL
92,link to REF029C,REF029CL
93,link to REF030A,REF030AL
94,link to REF030B,REF030BL
95,link to REF030C,REF030CL
96,link to REF031A,REF031AL
97,link to REF031B,REF031BL
98,link to REF031C,REF031CL
99,link to REF032A,REF032AL
100,link to REF032B,REF032BL
101,link to REF032C,REF032CL
102,link to REf033A,REF033AL
103,link to REF033B,REF033BL
104,link to REF033C,REF033CL
105,link to REF034A,REF034AL
106,link to REF034B,REF034BL
107,link to REF034C,REF034CL
108,link to REF035A,REF035AL
109,link to REF035B,REF035BL
110,link to REF035C,REF035CL
111,link to REF036A,REF036AL
112,link to REF036B,REF036BL
113,link to REF036C,REF036CL
114,link to REF037A,REF037AL
115,link to REF037B,REF037BL
116,link to REF037C,REF037CL
117,link to REF038A,REF038AL
118,link to REF038B,REF038BL
119,link to REF038C,REF038CL
120,link to REF039A,REF039AL
121,link to REF039B,REF039BL
122,link to REF039C,REF039CL
123,link to REF039D,REF039DL
124,link to REF040A,REF040AL
125,link to REF040B,REF040BL
126,link to REF040C,REF040CL
127,link to REF041A,REF041AL
128,link to REF041B,REF041BL
129,link to REF041C,REF041CL
130,link to REF042A,REF042AL
131,link to REF042B,REF042BL
132,link to REF042C,REF042CL
133,link to REF043A,REF043AL
134,link to REF043B,REF043BL
135,link to REF043C,REF043CL
136,link to REF044A,REF044AL
137,link to REF044B,REF044BL
138,link to REF044C,REF044CL
139,link to REF045A,REF045AL
140,link to REF045B,REF045BL
141,link to REF045C,REF045CL
142,link to REF046A,REF046AL
143,link to REF046B,REF046BL
144,link to REF046C,REF046CL
145,link to REF047A,REF047AL
146,link to REF047B,REF047BL
147,link to REF047C,REF047CL
148,link to REF048A,REF048AL
149,link to REF048B,REF048BL
150,link to REF048C,REF048CL
151,link to REF049A,REF049AL
152,link to REF049B,REF049BL
153,link to REF049C,REF049CL
154,link to REF049D,REF049DL
155,link to REF050A,REF050AL
156,link to REF050B,REF050BL
157,link to REF050C,REF050CL
158,link to REF051A,REF051AL
159,link to REF051B,REF051BL
160,link to REF051C,REF051CL
161,link to REF052A,REF052AL
162,link to REF052B,REF052BL
163,link to REF052C,REF052CL
164,link to REF053A,REF053AL
165,link to REF053B,REF053BL
166,link to REF053C,REF053CL
167,link to REF054A,REF054AL
168,link to REF054B,REF054BL
169,link to REF054C,REF054CL
170,link to REF056A,REF056AL
171,link to REF056B,REF056BL
172,link to REF056C,REF056CL
173,link to XRF389D,XRF389DL
174,link to DCS002A,DCS002AL
175,link to DCS005A,DCS005AL
176,link to DCS014B,DCS014BL
177,link to XRF005AL,XRF005AL
178,Link RBV,VK2RBVBL
179,Call RBV,/VK2RBVB
180,Visible On,VIS   ON
181,Visible Off,VIS  OFF
