Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes
,,,,,,,,,,,,{{10M;FM;*}}
29.1200,29.1200,VK2RMB,THills,Terrey Hills,Sydney 6/15,P,-,150,-,2MB,-,1
29.1200,29.1200,VK2RBH,Darlng,Mt Darling,Broken Hill,O,-,400,-,2DPG,-,12
29.1200,29.1200,VK4RLB,-,Logan,Brisbane,O,25,60,4,4ARN,88.5,3
29.1300,29.1300,VK2RNG,Werri,Werrington,Western Sydney,O,-,-,-,2THE,-,13
29.1400,29.1400,VK3RRU,-,Merbein,Mildura,O,20,-,2.5,3RSG,-,5
29.6200,29.5200,VK5RSC,-,Mt Terrible,Adelaide,O,40,410,3,5ARC,-,7
29.6300,29.5300,VK2RCZ,-,Lalor Park,Sydney West 8/15,P,-,-,3,2CRZ,-,
29.6300,29.5300,VK4RPU,-,Mt Perry,Monto 6/15,P,-,-,-,4PU,-,
29.6300,29.5300,VK7RMD,-,Mt Duncan,NW Tasmania 6/15,P,30,600,3,7NW,-,
29.6400,29.5400,VK3RHF,-,Olinda,Melbourne 5/16,X,100,600,3,3UJ,-,8
29.6500,29.5500,VK2RWI,Dural,Dural,Sydney 6/15,X,25,240,-,2WI,-,
29.6600,29.5600,VK4RKC,-,Oceanview,Brisbane North,O,100,530,5,4KI,-,9
29.6700,29.5700,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,-,900,3,2HZ,-,
29.6800,29.5800,VK6RHF,-,Leeming,Perth,O,50,300,3,WRG,179.9,10,11
29.6800,29.5800,VK7RHF,-,Roberts Bluff,Kaoota,O,50,710,5,7HH,91.5,19
,,,,,,,,,,,,{{6M;FM;VK2}}
53.5500,52.5500,VK2RSC,Lismor,Parrots Nest,Lismore,O,20,185,3,2SRC,-,
53.5750,52.5750,VK2RPW,-,Grundy Mtn,Walcha,O,50,1463,3,NWR,-,
53.6000,52.6000,VK2RNW,Kaput,Mt Kaputar,Narrabri 6/15,X,-,1550,-,2AJ,-,
53.6250,52.6250,VK2RSN,-,Mt Sugarloaf,Newcastle,O,-,442,-,2FA,-,
53.6500,52.6500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,40,465,4,2AMW,123,2
53.6750,52.6750,VK2RMB,THills,Terrey Hills,Sydney 6/15,X,50,150,3,2MB,-,1
53.7000,52.7000,VK2RGN,-,Signal Hill,Goulburn,O,-,-,-,2JQ,-,
53.7250,52.7250,VK2RAG,Someb,Somersby,Gosford - Wyong,O,50,320,3,2EH,91.5,71
53.7500,52.7500,VK2RCB,-,Francis L/O Dorrigo,Bellingen 7/17,P,50,850,3,2EP,-,
53.8500,52.8500,VK2RWI,Dural,Dural,Sydney,O,25,240,3.5,2WI,-,
53.8750,52.8750,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,-,900,3,2HZ,123,
53.9250,52.9250,VK1RGI,Ginini,Mt Ginini,SE NSW - ACT 6/15,P,35,1770,3,1ACA,91.5,
,,,,,,,,,,,,{{6M;FM;VK3}}
53.5500,52.5500,VK3RMH,WatlGn,Wattle Glen,Melbourne 6/15,X,25,120,3,3CNE,-,
53.5750,52.5750,VK3RDD,-,Cockatoo,Dandenong 6/17,X,30,385,3.5,3BJA,91.5,
53.6000,52.6000,VK3RMR,-,Mt Lookout,Gippsland,O,25,-,-,3EGC,-,
53.6250,52.6250,VK3RHF,-,Mt Dandenong,Melbourne,O,50,600,3,3UJ,88.5,8
53.6500,52.6500,VK3RWU,-,Mt William,Grampians,O,-,-,-,3WI,91.5,
53.6750,52.6750,VK3RAD,-,Mitcham,Melbourne East 6/15,X,-,100,-,3JFK,-,
53.6750,52.6750,VK3RTN,-,Mt Gordon,Marysville - NE Vic,O,25,800,2.5,3JFK,-,14
53.7250,52.7250,VK3RGV,Wombat,Mt Wombat,Shepparton,O,15,800,3,3WI,123,18
53.9000,52.9000,VK3RMS,Olind2,Olinda,Melbourne,O,60,600,3,3WI,-,15
53.9750,52.9750,VK3RGM,-,Mt Buller,NE Victoria 6/15,X,25,1800,3,3JFK,-,
,,,,,,,,,,,,{{6M;FM;VK4}}
53.6250,52.6250,VK4RRC,-,Wamuran,Redcliffe,O,20,230,5,4RC,-,
53.7000,52.7000,VK4RSN,-,Wilkes Knob,Sunshine Coast,O,18,470,5,4WIS,-,
53.7250,52.7250,VK4RGA,-,Kroombit Tops,Central Queensland 8/15,X,83,1010,5,QGL,-,
53.7250,52.7250,VK4RLB,-,Woodridge,Brisbane South,O,25,60,4,4ARN,-,3
53.7750,52.7750,VK4RBG,Bunda,Bundaberg,Bundaberg 6/15,P,25,50,5,4BW,-,
53.7750,52.7750,VK4RBP,-,Butchers Creek,Atherton Tableland,O,-,600,-,4FUY,-,
53.8000,52.8000,VK4RSA,-,Sarina,Mackay 6/15,T,-,-,-,4RM,-,
53.8250,52.8250,VK4REG,-,Mt Mowbullan,Bunya Mtns,O,25,1700,5,4JV,91.5,
53.8750,52.8750,VK4RLS,-,Mt Dunsinane,Logan/Bdesert 7/17,P,50,400,5,4BAB,-,
53.9250,52.9250,VK4RBX,-,The Knobby,Ipswich,O,50,-,5,4AB,-,
53.9500,52.9500,VK4RAT,-,Mt Stuart,Townsville 6/15,P,-,584,-,4WIT,-,
53.9750,52.9750,VK4RBR,-,Mt Gravatt,Brisbane,O,25,80,3,4WIE,-,
,,,,,,,,,,,,{{6M;FM;VK5}}
53.7500,52.7500,VK5RSB,Sumtwn,Summertown,Adelaide,O,50,620,8,5ARG,-,
53.7750,52.7750,VK5RLZ,-,Elizabeth,Adelaide North,O,50,73,5,5LZ,-,
,,,,,,,,,,,,{{6M;FM;VK6}}
53.8000,52.8000,VK6RAP,PerSE1,Roleystone,Perth South East,O,20,350,5,WRG,-,11
,,,,,,,,,,,,{{6M;FM;VK7}}
53.7000,52.7000,VK7RCH,-,Roberts Bluff,Kaoota,O,50,710,5,7HH,-,19
53.7750,52.7750,VK7RTV,-,Gawler,Central NW Coast,O,50,155,7.5,TNA,-,
53.8000,52.8000,VK7RMD,-,Mt Duncan,NW Tasmania 3/17,X,40,600,10,7NW,-,
53.8250,52.8250,VK7RAD,-,Queens Domain,Derwent Valley,O,30,140,8,7OTC,-,17
53.8750,52.8750,VK7RAA,-,Mt Arthur,N Tasmania 6/15,P,50,1400,3,7TAZ,-,
53.9500,52.9500,VK7RVP,-,St Valentines Peak,NW Tasmania,O,40,1150,3,7DB,91.5,
,,,,,,,,,,,,{{2M;FM;VK2}}
146.6250,146.0250,VK2RBB,Byron,Goonengerry,Byron Bay,O,18,355,3,2SRC,123,
146.6250,146.0250,VK2RGN,MtGray,Mt Gray,Goulburn,O,20,-,3,2JQ,-,
146.6250,146.0250,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW 6/15,P,50,1550,3,2AJ,-,
146.6500,146.0500,VK2RDX,Bindo,Mt Bindo,W Blue Mtns,O,50,1362,3.5,2LE,-,
146.6500,146.0500,VK2RMI,THiHi,Terry Hie Hie,Moree / Inverell,O,10,660,4,2AJ,-,
146.6750,146.0750,VK2RCV,Graft,Grafton,Clarence Valley,O,30,264,3.5,2YLO,123,
146.6750,146.0750,VK2REE,-,Mt Ganghat,Taree-Gloucester,O,50,600,5.0,2FRE,123,22
146.6750,146.0750,VK2RLH,SBark,Stringybark Hill,Bathurst 6/17,X,25,-,-,2NX,-,
146.6750,146.0750,VK2RUW,Nites1,Knights Hill,Wgong Sth - Shoalhaven,O,50,920,5,2AMW,-,21
146.7000,146.1000,VK2RAO,Cbolas,Mt Canobolas,Orange,O,50,1417,3,2AOA,91.5,
146.7000,146.1000,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,O,50,330,4,2HQ,123,
146.7000,146.1000,VK2RPM,MdlBro,Middle Brother,Port Macquarie,O,50,552,3.5,2BOR,91.5,
