0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank,TS
2-FM,VK1RAC 2,FM,2,146.9000,146.3000,VK1RAC,Tidbin,Tidbinbilla,SW ACT 6/15,X,10,441,5,1ACA,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",148.952144,-35.378932,QF44lo49gb,266233,230.3,213.6,447143.8,919053.4,5,,
2-FM,VK1RBH 2,FM,2,147.1750,147.7750,VK1RBH,BullsH,Bulls Head,ACT WICEN,O,50,1385,-,1ACA,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",148.813048,-35.385788,QF44jo77nj,276712,231.8,216.1,436814.4,925387.5,5,,
2-FM,VK1RBM 2,FM,2,146.7250,146.1250,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,O,25,790,3,1ACA,91.5,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",149.11875,-35.364585,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,,
8-DMR,VK1RBM DMR,DV,DMR,438.8125,431.8125,VK1RBM,-,Isaacs Ridge,Canberra Central,O,25,800,2,1ACA,-,107,,-7.000,7.000,"-",MINUS,DUP-,"-RPT",149.11875,-35.364585,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,,
3-FM,VK1RBM 7,FM,7,439.9500,434.9500,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,O,25,790,3,1ACA,91.5,65,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",149.11875,-35.364585,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,,
4-FM,VK1RGI 6,FM,6,53.9250,52.9250,VK1RGI,Ginini,Mt Ginini,SE NSW - ACT 6/15,P,35,1770,3,1ACA,91.5,,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",148.772605,-35.529552,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,,
2-FM,VK1RGI 2,FM,2,146.9500,146.3500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,O,40,1770,3.5,1ACA,91.5,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",148.772605,-35.529552,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,,
3-FM,VK1RGI 7,FM,7,438.0500,433.0500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,O,150,1770,3.5,1ACA,91.5,67,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",148.772605,-35.529552,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,,
2-FM,VK1RJB 2,FM,2,146.9250,146.3250,VK1RJB,Jervis,Jervis Bay,Jervis Bay,O,-,-,-,2VVV,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.730387,-35.161736,QF54iu71pe,150081,196.8,166.5,594032.9,838149.7,5,,
6-DV,VK1RWN C,DV,DST,146.6625,146.0625,VK1RWN C,-,Isaacs Ridge,Canberra Central (G) 6/15,T,25,790,3,1ACA,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",149.11875,-35.364585,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,,
2-FM,VK1RWP 2,FM,2,147.1250,147.7250,VK1RWP,-,portable,ACT WICEN,O,20,-,-,1ACA,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
2-FM,VK1RWP 2,FM,2,147.1500,147.7500,VK1RWP,-,portable,ACT WICEN,O,20,-,-,1ACA,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
2-FM,VK1RWP 2,FM,2,147.1750,147.7750,VK1RWP,-,portable,ACT wide WICEN,O,-,-,-,1ACA,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
3-FM,VK1RWP 7,FM,7,439.9250,434.9250,VK1RWP,-,portable,VK1 WICEN,O,20,-,-,1ACA,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
3-FM,VK1RWP 7,FM,7,439.9750,434.9750,VK1RWP,-,portable,VK1 WICEN,O,20,-,-,1ACA,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
3-FM,VK2RAB 7,FM,7,438.4750,433.4750,VK2RAB,MtCraw,Mt Crawney,Tamworth/Muswellbrook,O,50,1401,3,NWR,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.992083,-31.587699,QF58lj98bw,253668,355.4,15.4,883577.6,458082.5,5,,
2-FM,VK2RAD 2,FM,2,146.7250,146.1250,VK2RAD,SHill,South Hill,Armidale,O,10,1140,3,2IY,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.651755,-30.544277,QF59tk89fi,370915,6.6,20.2,1014105.5,326525.3,5,,
3-FM,VK2RAD 7,FM,7,438.6500,433.6500,VK2RAD,SHill,South Hill,Armidale,O,10,1140,3,2IY,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.651755,-30.544277,QF59tk89fi,370915,6.6,20.2,1014105.5,326525.3,5,,
3-FM,VK2RAF 7,FM,7,439.9250,434.9250,VK2RAF,-,portable,Statewide WICEN,O,10,-,-,NWN,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
4-FM,VK2RAG 6,FM,6,53.7250,52.7250,VK2RAG,Someb,Somersby,Gosford - Wyong,O,50,320,3,2EH,91.5,71,,-1.000,1.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
2-FM,VK2RAG 2,FM,2,146.7250,146.1250,VK2RAG,Someb,Somersby,Gosford,O,50,320,3,2EH,91.5,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
2-FM,VK2RAG 2,FM,2,147.1250,147.7250,VK2RAG,Someb1,Somersby,Gosford WICEN,O,50,320,3,2EH,91.5,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,438.0750,433.0750,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,O,50,320,3,2EH,91.5,31,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
8-DMR,VK2RAG DMR,DV,DMR,438.9250,431.9250,VK2RAG,Someb,Somersby,Gosford - Wyong IRLP,O,50,320,3,2EH,-,,,-7.000,7.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,439.5250,434.5250,VK2RAG,Someb1,Somersby,Gosford - Wyong WICEN,O,50,320,3,2EH,91.5,31,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,439.7250,434.7250,VK2RAG,Someb2,Somersby,Gosford - Wyong,O,25,320,3,2EH,91.5,71,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
3-FM,VK2RAG 7,FM,7,439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast,O,-,313,3,2EH,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
7-P25,VK2RAG P25,DV,P25,439.9500,434.9500,VK2RAG,Someb,Somersby,Central Coast,O,-,300,3,2EH,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
5-FM,VK2RAG 23,FM,23,1273.4000,1293.4000,VK2RAG,Someb,Somersby,Gosford - Wyong,O,-,320,-,2EH,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
6-DV,VK2RAG A,DV,DST,1273.4000,1293.4000,VK2RAG A,Someb2,Somersby,Gosford 6/15,P,10,320,4,2EH,-,,,20.000,20.000,"+",PLUS,DUP+,"+RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
6-DV,VK2RAG B,DV,DST,438.3250,432.9250,VK2RAG B,Someb1,Somersby,Gosford (G),O,25,320,4,2EH,-,96,,-5.400,5.400,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
6-DV,VK2RAG C,DV,DST,146.6375,146.0375,VK2RAG C,Someb,Somersby,Gosford (G),O,25,320,4,2EH,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",151.291215,-33.360078,QF56pp43wn,56843,7.9,66.8,756254.7,631799.9,5,,
