Call,freq,offset,ctcss,type,location,longditude,latitude,height,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
VK1RAC,146.9000,-0.6,,FM,Tidbinbilla,148.9521436,-35.37893186,0,QF44lo49gb,266233,230.3,213.6,447143.8,919053.4,5,
VK1RBH,147.1750,0.6,,FM,Bulls Head,148.8130485,-35.38578797,0,QF44jo77nj,276712,231.8,216.1,436814.4,925387.5,5,
VK1RBM,146.7250,-0.6,91.5Hz,FM,Isaacs Ridge,149.1187502,-35.36458523,0,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,
VK1RBM,439.9500,-5,91.5Hz,FM,Isaacs Ridge,149.1187502,-35.36458523,0,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,
VK1RGI,146.9500,-0.6,91.5Hz,FM,Mt Ginini,148.772605,-35.52955176,0,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,
VK1RGI,438.0500,-5,91.5Hz,FM,Mt Ginini,148.772605,-35.52955176,0,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,
VK1RGI,53.9250,-1,91.5Hz,FM,Mt Ginini,148.772605,-35.52955176,0,QF44jl22rv,289397,229.7,214.6,424006.9,941277.0,5,
VK1RJB,146.9250,-0.6,,FM,Jervis Bay,150.7303866,-35.16173555,0,QF54iu71pe,150081,196.8,166.5,594032.9,838149.7,5,
VK1RWN C,146.6625,-0.6,,DV,Isaacs Ridge,149.1187502,-35.36458523,0,QF44np42gl,253514,228.5,210.5,460070.9,911043.3,5,
VK2MD,145.400,0,,FM,VK2MD,151.136859,-33.653220,0,QF56ni63kf,24689,344.6,84.9,723844.6,667030.7,5,
VK2RAB,438.4750,-5,,FM,Mt Crawney,150.9920829,-31.58769895,0,QF58lj98bw,253668,355.4,15.4,883577.6,458082.5,5,
VK2RAD,146.7250,-0.6,,FM,South Hill,151.6517546,-30.54427719,0,QF59tk89fi,370915,6.6,20.2,1014105.5,326525.4,5,
VK2RAD,438.6500,-5,,FM,South Hill,151.6517546,-30.54427719,0,QF59tk89fi,370915,6.6,20.2,1014105.5,326525.4,5,
VK2RAG A,1273.4000,20,,DV,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG B,438.3250,-5.4,,DV,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG C,146.6375,-0.6,,DV,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,1273.4000,20,,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,146.7250,-0.6,91.5Hz,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,147.1250,0.6,91.5Hz,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,438.0750,-5,91.5Hz,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,439.5250,-5,91.5Hz,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,439.7250,-5,91.5Hz,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,439.9500,-5,91.5Hz,FM,Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
VK2RAG,439.9500,-5,91.5Hz,P25 (NAC = 293),Somersby,151.2912145,-33.36007822,0,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
