0  sortseq,0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
010,6-DV,VK2RBV B,DV,DST,438.7750,433.7750,VK2RBV B,-,Sydney,Sydney,O,50,200,3,2BV,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2115417,-33.86429172,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,
011,2-FM,VK2ROT 2,FM,2,147.0250,147.6250,VK2ROT,Paddo,Paddington,Sydney,O,20,40,3,2BV,91.5,23,,-0.600,0.600,+,PLUS,DUP+,+RPT,151.2291117,-33.88656055,QF56oc77lf,2871,136.5,102.6,713577.4,689592.6,5,
011,3-FM,VK2ROT 7,FM,7,438.5750,433.5750,VK2ROT,Paddo,Paddington,Sydney FM and P25,O,50,90,3,2BV,91.5,23,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2291117,-33.88656055,QF56oc77lf,2871,136.5,102.6,713577.4,689592.6,5,
012,3-FM,VK2ROZ 7,FM,7,438.1125,432.7125,VK2ROZ,-,Sydney CBD,Rozelle Digital 2/16,P,25,50,3,2BV,91.5,,,5.400,5.400,-,MINUS,DUP-,-RPT,151.2115417,-33.86429172,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,
013,3-FM,VK2RCG 7,FM,7,439.8000,434.8000,VK2RCG,-,Sydney,Sydney city,O,-,-,-,NME,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.2115417,-33.86429172,QF56od52jn,524,42.2,101.2,713896.0,687638.7,5,
014,3-FM,VK2RCF 7,FM,7,438.4500,433.4500,VK2RCF,-,Carlingford,Sydney FM and P25,O,-,-,-,NME,91.5,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.0527875,-33.77565327,QF56mf63iu,17612,305.4,95.5,709040.7,682277.6,5,
015,2-FM,VK2RWI 2,FM,2,147.0000,146.4000,VK2RWI,Dural,Dural,Sydney,O,120,240,3.5,2WI,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.0554635,-33.69874235,QF56mh62ph,23462,323.0,88.4,714843.6,674046.0,5,
015,3-FM,VK2RWI 7,FM,7,438.5250,433.5250,VK2RWI,Dural,Dural,Sydney,O,25,240,3.5,2WI,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.0554635,-33.69874235,QF56mh62ph,23462,323.0,88.4,714843.6,674046.0,5,
015,3-FM,VK2RWI 7,FM,7,438.6000,433.6000,VK2RWI,Dural1,Dural,Sydney 6/15,X,20,240,3,2WI,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.0554635,-33.69874235,QF56mh62ph,23462,323.0,88.4,714843.6,674046.0,5,
015,3-FM,VK2RWI 7,FM,7,439.9000,434.9000,VK2RWI,Dural2,Dural,Sydney 6/15,P,25,240,-,2WI,-,,,5.000,5.000,-,MINUS,DUP-,-RPT,151.0554635,-33.69874235,QF56mh62ph,23462,323.0,88.4,714843.6,674046.0,5,
016,2-FM,VK2RMP 2,FM,2,146.8500,146.2500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,120,465,4,2AMW,-,21,,0.600,0.600,-,MINUS,DUP-,-RPT,150.9545937,-34.26338381,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,
016,3-FM,VK2RMP 7,FM,7,438.7250,433.7250,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,100,465,4,2AMW,123,2,,5.000,5.000,-,MINUS,DUP-,-RPT,150.9545937,-34.26338381,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,
017,2-FM,VK2RBM 2,FM,2,147.0500,147.6500,VK2RBM,Lawsn1,Lawson,Blue Mountains,O,20,900,3.5,2HZ,123,,,-0.600,0.600,+,PLUS,DUP+,+RPT,150.4315849,-33.71943279,QF56fg17si,73736,282.7,90.7,670835.1,695513.2,5,
017,3-FM,VK2RBM 7,FM,7,438.3750,433.3750,VK2RBM,Lawsn1,Lawson,Blue Mountains,O,25,700,4,2HZ,123,,,5.000,5.000,-,MINUS,DUP-,-RPT,150.4315849,-33.71943279,QF56fg17si,73736,282.7,90.7,670835.1,695513.2,5,
02,6-DV,VK2RAG B,DV,DST,438.3250,432.9250,VK2RAG B,Someb1,Somersby,Gosford (G),O,25,320,4,2EH,-,96,,5.400,5.400,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
02,6-DV,VK2RAG C,DV,DST,146.6375,146.0375,VK2RAG C,Someb,Somersby,Gosford (G),O,25,320,4,2EH,-,,,0.600,0.600,-,MINUS,DUP-,-RPT,151.2912145,-33.36007822,QF56pp43wn,56843,7.9,66.8,756254.6,631800.0,5,
